대학,권역,자료학년도,자료집역할,민간자료링크,자료집명,근거등급,최종확인일
전북대,지거국,2028,탐색용 링크,https://drive.google.com/open?id=14g1rvriySt-1tvbaIr7uktPskwUPjgyi&usp=drive_copy,이즈유 2028 대학별 이수 권장 과목 정리 자료집,C-공식원문 탐색용,2026-08-18
강원대,지거국,2028,탐색용 링크,https://drive.google.com/open?id=1kORGMSDV2twYTCFOAiyrBbC2Dl-BQQ3-&usp=drive_copy,이즈유 2028 대학별 이수 권장 과목 정리 자료집,C-공식원문 탐색용,2026-08-18
광주교대,교대·이공특,2028,탐색용 링크,https://drive.google.com/open?id=1eDlGjIcNrCWCsFH9tvw97ZIL3-U21vsr&usp=drive_copy,이즈유 2028 대학별 이수 권장 과목 정리 자료집,C-공식원문 탐색용,2026-08-18
포항공대,교대·이공특,2028,탐색용 링크,https://drive.google.com/open?id=1UwUgAR5tDrV5mdtBh14AWifaNJ8CECZJ&usp=drive_copy,이즈유 2028 대학별 이수 권장 과목 정리 자료집,C-공식원문 탐색용,2026-08-18
경북대,지거국,2028,탐색용 링크,https://drive.google.com/open?id=1apSmpiFld_88Arn2t46M2nmGhltbEXpX&usp=drive_copy,이즈유 2028 대학별 이수 권장 과목 정리 자료집,C-공식원문 탐색용,2026-08-18
부산대,지거국,2028,탐색용 링크,https://drive.google.com/open?id=1DQzqDAgh6DrGqMscInwybb9bsK893stk&usp=drive_copy,이즈유 2028 대학별 이수 권장 과목 정리 자료집,C-공식원문 탐색용,2026-08-18
전남대,지거국,2028,탐색용 링크,https://drive.google.com/open?id=1CNdqIpbMoE6iHaFv_qSer0CE-Vhv-S48&usp=drive_copy,이즈유 2028 대학별 이수 권장 과목 정리 자료집,C-공식원문 탐색용,2026-08-18
충남대,지거국,2028,탐색용 링크,https://drive.google.com/open?id=1Y2u0UGRjfp7RMqy_C_prxhy9RjJleJ17&usp=drive_copy,이즈유 2028 대학별 이수 권장 과목 정리 자료집,C-공식원문 탐색용,2026-08-18
충북대,지거국,2028,탐색용 링크,https://drive.google.com/open?id=1LylCaPp8QWer6Yb5EBp6cBUu_EJvJ5aR&usp=drive_copy,이즈유 2028 대학별 이수 권장 과목 정리 자료집,C-공식원문 탐색용,2026-08-18
상지대,강원·제주,2028,탐색용 링크,https://drive.google.com/open?id=1BFxdgii7SvYTeXrRd0a8TRsBswvCsxtk&usp=drive_copy,이즈유 2028 대학별 이수 권장 과목 정리 자료집,C-공식원문 탐색용,2026-08-18
핚라대,강원·제주,2028,탐색용 링크,https://drive.google.com/open?id=1AyBcr6V3NN4WI-4VERuKgzDIQPb70Tap&usp=drive_copy,이즈유 2028 대학별 이수 권장 과목 정리 자료집,C-공식원문 탐색용,2026-08-18
제주국제대,강원·제주,2028,탐색용 링크,https://drive.google.com/open?id=1XhtGHpXHwIqHkhtg85dN7j8HMeDP7caR&usp=drive_copy,이즈유 2028 대학별 이수 권장 과목 정리 자료집,C-공식원문 탐색용,2026-08-18
조선대,전라권,2028,자료집 미수록-공식 별도 추적,,,A-대학공식 추적,2026-08-18
경상국립대,지거국,2028,자료집 지거국 목록 외 추가 추적,,,A/B 공식자료 추적,2026-08-18
제주대,지거국,2028,자료집 지거국 목록 외 추가 추적,,,A/B 공식자료 추적,2026-08-18
